DataType,Site_ID,depth_offset_mm,elev_offset_m,A,B,C,D,E,F,G,H,I
Elevation,ARB002,1562.1,248.949,,,,,,,,,
Elevation,ARB003,1905.0,248.464,,,,,,,,,
Elevation,ARB006,2600.0,265.421,,,,,,,,,
Discharge,ARB012,6858.0,260.36,50.985,1.45,-205.89,387.23,-19.208,0.0,0.0,0.0,0.0
Discharge,ARB013,3048.0,268.199,0.0,0.0,-8.3457,246.0,-280.19,0.0,0.0,0.0,0.0
Elevation,ARB015,1930.0,230.209,,,,,,,,,
Discharge,ARB017,1517.65,264.602,0.0,-0.69,0.0,0.0,0.0,7.2084,2.1891,0.0,0.0
Elevation,ARB018,2298.7,245.848,,,,,,,,,
Elevation,ARB025,4905.5,235.024,-10.468,0.0,535.97,-8014.0,37227.0,0.0,0.0,0.0,0.0
Elevation,ARB026,4919.0,281.338,,,,,,,,,
Elevation,ARB027,5791.2,248.04,0.0,0.0,1714.8,-8520.8,10872.0,0.0,0.0,0.0,0.0
Discharge,ARB028,4102.0,246.562,0.0,0.77,0.0,0.0,0.0,31.747,1.8527,0.0,0.0
Elevation,ARB032,1772.0,289.124,0.0,0.0,-6.2738,41.042,-52.902,0.0,0.0,0.0,0.0
Elevation,ARB034,2063.0,290.497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0181,2.5385
Elevation,ARB048,2734.0,258.806,,,,,,,,,
Elevation,ARB059,7950.8,191.714,,,,,,,,,
Elevation,ARB061,2641.6,264.017,0.0,0.0,0.0,0.0,0.0,32.084,1.3361,0.0,0.0
Discharge,ARB062,2498.7,236.59,0.0,0.0,0.0,0.0,0.0,31.057,1.9608,0.0,0.0
Discharge,ARB063,2250.7,226.405,0.0,0.527,0.0,0.0,0.0,21.277,1.5549,0.0,0.0
Elevation,PTK028,1600.2,300.073,,,,,,,,,
Elevation,ARB082,1574.8,264.347,,,,,,,,,
Elevation,ARB083,2438.4,265.0934,,,,,,,,,
Elevation,ARB095,1955.8,247.701,,,,,,,,,
